"","Estimate","Std. Error","t value","Pr(>|t|)","strength","reg"
"ETS2",-0.0215645958350652,0.00761413127025795,-2.83218072681516,0.00526313594215951,0.0215645958350652,"2"
"SP1",0.10740397269702,0.0367691326174147,2.92103634357017,0.00403182538496397,0.10740397269702,"1"
"STAT4",0.343102239348466,0.044895344073053,7.64226773248859,2.4110776306603e-12,0.343102239348466,"1"
"TBP",0.657282839457859,0.058365561995414,11.2614839468093,1.13673226811578e-21,0.657282839457859,"1"
"YY1",-0.0797106789475736,0.0129424890419084,-6.158836889061,6.49202005415903e-09,0.0797106789475736,"2"
