"","Estimate","Std. Error","t value","Pr(>|t|)","strength","reg"
"CEBPB",0.0163303019911459,0.0064722699285261,2.52311819060128,0.0133676659884408,0.0163303019911459,"1"
"STAT4",0.566706549158731,0.079356991336711,7.14123027616055,2.20432694145715e-10,0.566706549158731,"1"
"TBP",0.564767421800522,0.0889851923288831,6.34675733141286,8.4321329716117e-09,0.564767421800522,"1"
