"","Estimate","Std. Error","t value","Pr(>|t|)","strength","reg"
"ELF1",124.100473988628,45.7595066063349,2.71201512411953,0.0081095664252461,124.100473988628,"1"
"IRF1",50.8111441965261,7.94632720643396,6.39429297039083,8.65270843499711e-09,50.8111441965261,"1"
"IRF2",195.995337479506,55.4380512752862,3.53539370470042,0.000665292155896438,195.995337479506,"1"
"TCF7L2",-199.047235414738,67.3858441160562,-2.953843467063,0.00407002294210519,199.047235414738,"2"
