"","Cluster","Gene","L0_Rsquare","L0_RMSE"
"1","Cluster3","B2M",0.64806535727219,8.7283261537106
"2","Cluster3","CCL22",0.76684657947753,0.0121314094236526
"3","Cluster3","CCL28",0.519149553354978,0.0240687838423423
"4","Cluster3","CCR6",0.963547064582496,0.00441347392290028
"5","Cluster3","CD1C",0.57083917394439,0.0182349310135358
"6","Cluster3","CD2",0.133047361221163,0.0365485545115697
"7","Cluster3","CD40",0.264111080401639,0.049091324969101
"8","Cluster3","CXCL17",0.103670385684312,0.53776526364454
"9","Cluster3","CXCR5",0.858821234298575,0.0101680900128518
"10","Cluster3","EZH2",0.435931531514147,0.0241422772976041
"11","Cluster3","HSP90B1",0.426882847806002,0.682669009153485
"12","Cluster3","KLRK1",0.67699266919928,0.0172466507002359
"13","Cluster3","LAG3",0.677311046110706,0.0152699647622274
"14","Cluster3","NT5E",0.0597548833975898,0.0785172976210469
"15","Cluster3","RAET1G",0.839007140847526,0.00963818117459037
"16","Cluster3","TAP1",0.711840525597085,0.160083953107463
