,TF,Reg,Gene,Cluster,Strength
36,STAT4,1,RAET1G,Cluster1,0.343102239
37,TBP,1,RAET1G,Cluster1,0.657282839
38,YY1,2,RAET1G,Cluster1,0.079710679
66,ETS2,1,RAET1G,Cluster2,0.028555449
67,STAT4,1,RAET1G,Cluster2,0.546561392
68,TBP,1,RAET1G,Cluster2,0.576578627
69,YY1,2,RAET1G,Cluster2,0.051650201
102,STAT4,1,RAET1G,Cluster3,0.465982953
103,TBP,1,RAET1G,Cluster3,0.623783098
139,CEBPB,1,RAET1G,Cluster4,0.016330302
140,STAT4,1,RAET1G,Cluster4,0.566706549
141,TBP,1,RAET1G,Cluster4,0.564767422
39,IRF1,1,TAP1,Cluster1,1.617739769
40,LEF1,2,TAP1,Cluster1,1.392816214
41,YY1,1,TAP1,Cluster1,0.751180203
70,IRF1,1,TAP1,Cluster2,1.72991419
71,LEF1,2,TAP1,Cluster2,1.551005479
104,IRF1,1,TAP1,Cluster3,1.556916989
105,SRY,2,TAP1,Cluster3,4.190624884
142,IRF1,1,TAP1,Cluster4,1.206075967
143,TP53,2,TAP1,Cluster4,1.12771149
