"","TF","Reg","Gene","Cluster","Strength"
"1","CEBPB","2","B2M","Cluster3","27.2582693403321"
"2","IRF1","1","B2M","Cluster3","39.9475032000656"
"3","IRF2","1","B2M","Cluster3","200.965752787517"
"4","SP1","2","B2M","Cluster3","195.011098183099"
"5","JUN","1","CCL22","Cluster3","0.016395528118228"
"6","PAX5","1","CCL22","Cluster3","0.973867767230194"
"7","YY1","2","CCL22","Cluster3","0.073372515293687"
"8","ESR1","1","CCL28","Cluster3","0.677715537023445"
"9","GATA1","2","CCL28","Cluster3","0.809246543992595"
"10","TBP","1","CCL28","Cluster3","1.09441493779596"
"11","ETS1","1","CCR6","Cluster3","0.0401227220375656"
"12","GATA1","1","CCR6","Cluster3","0.951258753854817"
"13","TFAP2A","2","CCR6","Cluster3","0.0473977981669559"
"14","STAT4","1","CD1C","Cluster3","0.749543986665543"
"15","YY1","2","CD1C","Cluster3","0.107044518254216"
"16","ETS1","1","CD40","Cluster3","0.334921559406919"
"17","FOXA1","2","CD40","Cluster3","0.187819023261962"
"18","TBP","1","CD40","Cluster3","1.93208317315812"
"19","ETS1","2","CXCL17","Cluster3","2.36837694768236"
"20","JUN","1","CXCL17","Cluster3","0.59685075367885"
"21","GATA1","1","CXCR5","Cluster3","0.974111460024504"
"22","MYB","1","EZH2","Cluster3","0.685610061654662"
"23","PAX5","2","EZH2","Cluster3","1.11860549912294"
"24","RXRA","2","EZH2","Cluster3","0.205887690742909"
"25","TBP","1","EZH2","Cluster3","1.33512743019536"
"26","PAX5","2","HSP90B1","Cluster3","17.5828939165837"
"27","YY1","1","HSP90B1","Cluster3","5.25760828378968"
"28","STAT4","1","KLRK1","Cluster3","1.05139445350597"
"29","ETS1","1","LAG3","Cluster3","0.101769140423974"
"30","STAT4","1","LAG3","Cluster3","0.717858857738313"
"31","STAT4","1","RAET1G","Cluster3","0.465982952939006"
"32","TBP","1","RAET1G","Cluster3","0.623783098007476"
"33","IRF1","1","TAP1","Cluster3","1.55691698910557"
"34","SRY","2","TAP1","Cluster3","4.19062488406738"
