"","Cluster","Gene","L0_Rsquare","L0_RMSE"
"1","Cluster2","B2M",0.726147659792701,8.17641734141674
"2","Cluster2","CCL20",0.217470653422423,0.374268495210392
"3","Cluster2","CCL22",0.418957259149852,0.0340931618950198
"4","Cluster2","CCL28",0.525321788175428,0.0208295642585466
"5","Cluster2","CCR6",0.987524707668783,0.00319750714318467
"6","Cluster2","CD1C",0.795260611771343,0.0137401394965674
"7","Cluster2","CD2",0.28336369954849,0.0385719156078228
"8","Cluster2","CD40",0.20681288955286,0.0529421814198125
"9","Cluster2","CXCL17",0.0984935888473,0.695330131203557
"10","Cluster2","CXCR5",0.937577553085808,0.00753912977601193
"11","Cluster2","EZH2",0.507863124522791,0.0244763608438315
"12","Cluster2","HSP90B1",0.26727534252011,1.07319222196924
"13","Cluster2","KLRK1",0.741747100574777,0.017840767375319
"14","Cluster2","LAG3",0.704225569595944,0.018207414137052
"15","Cluster2","NT5E",0.0813910553350438,0.100732243807811
"16","Cluster2","RAET1G",0.820409509842248,0.0126431740975205
"17","Cluster2","TAP1",0.768762190860911,0.176455103335346
