"","Cluster","Gene","corr","pval"
"202","Cluster 1","CCL20",0.183123540026528,0.212822777892416
"203","Cluster 1","CCL22",-0.0413136764529634,0.78039552224878
"204","Cluster 1","CCL28",-0.323881990727172,0.0247242768029331
"205","Cluster 1","CCR6",0.493843973328563,0.000361013359143327
"206","Cluster 1","CD40",0.177495680908282,0.227462071090014
"207","Cluster 1","CXCL17",0.144221695802444,0.328082268551048
"208","Cluster 1","EZH2",-0.0165849145116005,0.91091661268326
"209","Cluster 1","HSP90B1",0.282168438182252,0.0520071077682466
"210","Cluster 1","KLRK1",0.215490475643295,0.14130415791564
"211","Cluster 1","NT5E",0.125816250701023,0.394160456957809
"212","Cluster 1","RAET1G",0.399300331498799,0.0049311154938257
"213","Cluster 1","TAP1",0.378873066864629,0.00791856764873554
"214","Cluster 2","B2M",0.208684195341846,0.251710913901684
"215","Cluster 2","CCL22",0.402955128092504,0.0222141754411902
"216","Cluster 2","CCL28",0.231772690101405,0.201812182122313
"217","Cluster 2","CD1C",-0.049904982577341,0.786204626178012
"218","Cluster 2","CD2",0.493635815089917,0.00409013577399786
"219","Cluster 2","CD40",0.33681190724705,0.0594314613459163
"220","Cluster 2","CXCL17",0.131706710508453,0.472422723033189
"221","Cluster 2","EZH2",-0.182762179299295,0.316734404257223
"222","Cluster 2","KLRK1",0.719078578036408,3.54229428388735e-06
"223","Cluster 2","NT5E",0.00367826317777276,0.984059658657641
"224","Cluster 2","RAET1G",0.276686101951004,0.125274422539169
"225","Cluster 2","TAP1",0.748954757448533,8.18820247765689e-07
"226","Cluster 3","B2M",0.698798770267894,7.51661462428541e-07
"227","Cluster 3","CCL22",0.366953804123718,0.0215685795356628
"228","Cluster 3","CCL28",-0.218871181640559,0.18067602868231
"229","Cluster 3","CD40",0.207995983906959,0.203862721686553
"230","Cluster 3","CXCL17",0.0779751160350246,0.637047665898499
"231","Cluster 3","CXCR5",0.213993548589859,0.190831586692038
"232","Cluster 3","HSP90B1",0.490349701495388,0.00152985479883289
"233","Cluster 3","KLRK1",0.280557415721707,0.0836280352592461
"234","Cluster 3","NT5E",0.405949772573796,0.0103431131908235
"235","Cluster 3","RAET1G",-0.0997499560484199,0.545723549282219
"236","Cluster 3","TAP1",0.584873855581499,9.2198368813232e-05
"237","Cluster 4","B2M",0.560499922622101,0.00127513330215606
"238","Cluster 4","CCL20",0.583454358263697,0.000713700926023421
"239","Cluster 4","CCL22",0.543602007479902,0.0019047285681656
"240","Cluster 4","CCL28",0.287406912242812,0.123559986174618
"241","Cluster 4","CCR6",0.427074121596997,0.0185828674811151
"242","Cluster 4","CD1C",0.290624624207219,0.119227548384926
"243","Cluster 4","CD40",0.17467151047291,0.355909445376968
"244","Cluster 4","CXCL17",0.188407157041718,0.318732592952152
"245","Cluster 4","EZH2",0.219027601178703,0.244880211969652
"246","Cluster 4","KLRK1",0.47829213239827,0.00750732671461134
"247","Cluster 4","LAG3",0.127311993176075,0.502588379294235
"248","Cluster 4","NT5E",-0.143215445931314,0.4502509469343
"249","Cluster 4","RAET1G",0.372255415993817,0.0427901066577537
"250","Cluster 4","TAP1",0.509114604154354,0.00406243249055806
"251","Cluster 1","B2M",0.586857796628642,1.16546627189952e-05
"252","Cluster 1","CCL20",0.413913307065041,0.00345022743063862
"253","Cluster 1","CCL22",-0.040450689052371,0.784872454322234
"254","Cluster 1","CCL28",0.99726206094721,1.09671823820246e-53
"255","Cluster 1","CCR6",0.599516808081968,6.70942582237179e-06
"256","Cluster 1","CD40",0.279464241388863,0.0543960207482219
"257","Cluster 1","CXCL17",0.276646397463237,0.0569787071150047
"258","Cluster 1","EZH2",0.549862313379749,5.16108432094222e-05
"259","Cluster 1","HSP90B1",0.551032776395973,4.93691947749121e-05
"260","Cluster 1","KLRK1",0.836939792074546,1.25864644396289e-13
"261","Cluster 1","NT5E",0.119023431779722,0.420385868972503
"262","Cluster 1","RAET1G",0.738213680654763,2.12768431151139e-09
"263","Cluster 1","TAP1",0.966933643345619,6.09854701255645e-29
"264","Cluster 2","B2M",0.389539597649696,0.0275402251786546
"265","Cluster 2","CCL22",0.504946120162287,0.00320376763587911
"266","Cluster 2","CCL28",0.27580253410771,0.126534751571039
"267","Cluster 2","CD1C",0.831574565956755,3.7365847466375e-09
"268","Cluster 2","CD2",0.376525624780375,0.033663246651546
"269","Cluster 2","CD40",0.617972677281334,0.000164040631003106
"270","Cluster 2","CXCL17",-0.0505759238954332,0.78339789833247
"271","Cluster 2","EZH2",0.289257974470923,0.108333459757128
"272","Cluster 2","KLRK1",0.862943253610189,2.1170777491926e-10
"273","Cluster 2","NT5E",0.28891356635821,0.108773347643324
"274","Cluster 2","RAET1G",0.258692575609976,0.152822483795973
"275","Cluster 2","TAP1",0.910908550253553,4.60978784876497e-13
"276","Cluster 3","B2M",0.696296037537255,8.55209456039825e-07
"277","Cluster 3","CCL22",0.440187859026493,0.00504271857589846
"278","Cluster 3","CCL28",0.986050365869907,2.03198812011841e-30
"279","Cluster 3","CD40",0.346630210518212,0.0306338586339147
"280","Cluster 3","CXCL17",-0.0185178105303114,0.910910118968097
"281","Cluster 3","CXCR5",0.190982389295645,0.244165502292507
"282","Cluster 3","HSP90B1",0.957125134077631,1.67346763454026e-21
"283","Cluster 3","KLRK1",0.618282354539645,2.73498811085096e-05
"284","Cluster 3","NT5E",0.857624501467334,3.10428260127978e-12
"285","Cluster 3","RAET1G",-0.0211143733427199,0.898478820909391
"286","Cluster 3","TAP1",0.844255538351136,1.45001249419021e-11
"287","Cluster 4","B2M",0.478343230345802,0.00750002699312688
"288","Cluster 4","CCL20",0.5681023839945,0.00105706531947579
"289","Cluster 4","CCL22",0.450362295351975,0.0125112626381924
"290","Cluster 4","CCL28",0.885796617114553,7.72131355027949e-11
"291","Cluster 4","CCR6",0.579600865206249,0.000789085478100912
