"","Cluster","Gene","L0_Rsquare","L0_RMSE"
"1","Cluster1","B2M",0.700021847093685,6.96856411226108
"2","Cluster1","CCL22",0.732720031068908,0.0163085982021623
"3","Cluster1","CCL28",0.462977501358904,0.0297206764296512
"4","Cluster1","CCR6",0.985060915530957,0.00347115936818706
"5","Cluster1","CD1C",0.621149739642205,0.0191977189736914
"6","Cluster1","CD2",0.269552693379434,0.0367883274731552
"7","Cluster1","CD40",0.373939626655824,0.0493574932404351
"8","Cluster1","CXCL17",0.174897533433745,0.764251607084542
"9","Cluster1","CXCR5",0.945985403463366,0.00727526775432457
"10","Cluster1","EZH2",0.48103450255379,0.0286553010457486
"11","Cluster1","HSP90B1",0.410622140059907,0.797912189763432
"12","Cluster1","KLRK1",0.722572036949048,0.01639026128368
"13","Cluster1","LAG3",0.629014075355086,0.0211066983191814
"14","Cluster1","NT5E",0.073184902922331,0.0911265740393252
"15","Cluster1","RAET1G",0.900594775181197,0.00924923597735892
"16","Cluster1","TAP1",0.738765212366294,0.156123017390932
