"","TF","Reg","Gene","Cluster","Strength"
"1","ELF1","1","B2M","Cluster2","124.100473988628"
"2","IRF1","1","B2M","Cluster2","50.8111441965261"
"3","IRF2","1","B2M","Cluster2","195.995337479506"
"4","TCF7L2","2","B2M","Cluster2","199.047235414738"
"5","ETS2","1","CCL20","Cluster2","0.772897220448993"
"6","FOXA1","1","CCL20","Cluster2","1.24044458708795"
"7","NFATC2","1","CCL20","Cluster2","22.6641251918241"
"8","CEBPB","1","CCL22","Cluster2","0.0697716782953554"
"9","PAX5","1","CCL22","Cluster2","0.884409496593725"
"10","GATA1","1","CCL28","Cluster2","0.774394456928715"
"11","ETS1","1","CCR6","Cluster2","0.0189528895429193"
"12","GATA1","1","CCR6","Cluster2","0.997889708274265"
"13","STAT4","1","CD1C","Cluster2","0.893679550696964"
"14","GATA1","1","CD2","Cluster2","0.717382373365137"
"15","GATA2","2","CD40","Cluster2","0.555382224111683"
"16","GATA1","1","CXCR5","Cluster2","1.0237647003163"
"17","NR3C1","2","EZH2","Cluster2","0.218031545567235"
"18","TBP","1","EZH2","Cluster2","1.11458471614554"
"19","YY1","1","EZH2","Cluster2","0.127077448900709"
"20","PAX5","2","HSP90B1","Cluster2","16.776756169544"
"21","STAT4","1","KLRK1","Cluster2","0.963006051872767"
"22","CEBPB","1","LAG3","Cluster2","0.0375398952808731"
"23","ETS1","1","LAG3","Cluster2","0.0771260117835223"
"24","STAT4","1","LAG3","Cluster2","0.738491503470466"
"25","ETS2","1","RAET1G","Cluster2","0.0285554492533486"
"26","STAT4","1","RAET1G","Cluster2","0.546561392445753"
"27","TBP","1","RAET1G","Cluster2","0.576578627061543"
"28","YY1","2","RAET1G","Cluster2","0.0516502011203557"
"29","IRF1","1","TAP1","Cluster2","1.72991418950347"
"30","LEF1","2","TAP1","Cluster2","1.55100547919475"
