CREM	ATP1B3	0
EGR1	ZFP36	0
FOS	FOSB	0
FOSB	MCL1	1
IRF1	NFKBIA	0
JUNB	SET	0
KLF2	KLF6	0
KLF6	KLF2	0
NFKBIA	DUSP2	0
TSC22D3	TAGLN2	0
FOSB	EGR1	1
FOSB	IDS	0
EGR1	DUSP2	0
IRF1	ZFP36	0
IRF1	YWHAB	0
KLF6	STK17A	0
IRF1	HLA-DMA	0
IRF1	OST4	0
FOS	DUSP1	0
JUNB	ZFP36	0
KLF6	IDS	0
FOSB	CCNL1	0
KLF6	MCL1	0
CREM	CALR	0
KLF2	STK17A	0
KLF2	SRSF5	0
FOSB	FOS	1
IRF1	HLA-E	0
FOSB	RPL36AL	0
FOSB	OST4	0
KLF6	CCNL1	0
IRF1	HNRNPK	0
KLF6	AHNAK	0
JUNB	RGS2	0
KLF6	TSC22D3	0
IRF1	SEPT7	0
JUNB	SLC2A3	0
JUNB	DUSP1	0
FOSB	COMMD6	1
KLF6	ANKRD12	0
EGR1	NFKBIA	0
TSC22D3	CALR	1
IRF1	HMGN1	0
IRF1	SLC25A3	0
TSC22D3	ZFAS1	0
JUNB	DUSP2	0
TSC22D3	TXNIP	1
TSC22D3	HNRNPDL	0
KLF2	LGALS1	0
EGR1	CCNL1	0
FOSB	SON	0
FOSB	DDX3X	1
JUNB	CYCS	0
KLF2	TSC22D3	0
FOSB	LAPTM5	0
JUNB	SRSF5	0
JUNB	CREM	0
TSC22D3	STK17A	0
KLF6	TAGLN2	0
JUNB	FOSB	0
KLF6	SRRM2	0
KLF6	ARHGDIB	0
FOSB	SH3BGRL3	0
TSC22D3	EZR	0
IRF1	SLC2A3	0
KLF2	HINT1	0
KLF2	RPL36AL	0
FOS	RGS1	0
FOSB	SLC2A3	0
KLF6	ZFP36L1	1
FOS	SRP14	0
FOS	EZR	1
IRF1	SUMO2	0
JUNB	DDX17	0
FOS	EGR1	0
IRF1	NDUFA4	0
NFKBIA	EGR1	0
FOSB	CD55	0
KLF2	EIF4A2	0
CREM	HNRNPK	0
KLF2	NDUFA4	0
FOSB	DYNLL1	0
IRF1	ARPC2	0
JUNB	RBM39	0
KLF6	CALR	0
FOS	N4BP2L2	0
TSC22D3	YWHAB	0
TSC22D3	CD53	0
FOSB	COX7C	0
CREM	EZR	0
FOSB	DUSP1	0
JUNB	CD48	0
CREM	OST4	0
JUNB	ATP1B3	0
FOS	STK17A	0
FOSB	YWHAB	0
KLF6	ZFP36	0
IRF1	DDX17	0
JUNB	N4BP2L2	0
FOS	CCNL1	0
IRF1	ARHGDIB	0
KLF6	EEF2	0
KLF6	SRP14	0
KLF2	SMIM14	0
IRF1	YWHAZ	0
CREM	SLC2A3	0
FOSB	N4BP2L2	0
JUNB	YWHAB	0
JUNB	SARAF	0
JUNB	HNRNPC	0
EGR1	H2AFZ	0
FOS	RPL36AL	0
CREM	MCL1	0
FOSB	MYL12B	0
EGR1	PPP1R15A	0
EGR1	CALM2	0
FOSB	GPR183	0
TSC22D3	KLF6	0
FOSB	PPP1R15A	1
JUNB	STK17A	0
KLF2	SLC2A3	0
KLF6	RGS1	0
KLF2	SRRM2	0
CREM	AHNAK	0
TSC22D3	CD48	0
KLF2	DUSP1	0
IRF1	COX7C	0
TSC22D3	SMIM14	0
KLF6	OAZ1	0
FOS	PPP1R15A	0
JUNB	SUMO2	0
TSC22D3	SON	0
TSC22D3	IDS	0
KLF2	CLIC1	0
JUNB	ARHGDIB	0
FOS	MYL6	0
TSC22D3	PFN1	0
FOSB	HLA-DMA	0
TSC22D3	SARAF	0
IRF1	MYL6	0
KLF6	HNRNPC	0
JUNB	CD69	0
KLF2	DDX3X	0
IRF1	MYL12B	0
KLF2	EGR1	0
JUNB	COX7C	0
IRF1	CORO1A	0
JUNB	TMBIM6	0
FOS	HLA-DMA	0
JUNB	HSPA8	0
TSC22D3	ZFP36L2	1
FOSB	HMGN1	0
TSC22D3	LAPTM5	0
IRF1	N4BP2L2	0
FOS	BTG2	0
EGR1	SUB1	0
EGR1	FOSB	0
FOSB	ATP1B3	0
FOSB	HNRNPK	0
KLF6	DDX3X	0
KLF6	H2AFZ	0
JUNB	SRGN	0
FOS	SON	0
FOSB	HNRNPDL	0
IRF1	HLA-DPB1	0
JUNB	TPM3	0
IRF1	PPP1R15A	0
FOSB	SMIM14	1
KLF6	HLA-DMA	0
TSC22D3	KLF2	0
IRF1	SRRM2	0
FOSB	TSC22D3	0
FOSB	CORO1A	0
NFKBIA	PPP1R15A	0
KLF2	GAPDH	0
EGR1	CHCHD2	0
FOSB	JUNB	1
CREM	ARHGDIB	0
IRF1	HLA-DQB1	0
IRF1	HNRNPDL	0
CREM	DUSP2	0
JUNB	SUB1	0
EGR1	HSPB1	0
JUNB	H3F3B	0
IRF1	CD52	0
FOS	ZFP36	0
EGR1	SRRM2	0
FOSB	ARPC2	0
KLF2	PFN1	0
TSC22D3	BTG1	0
EGR1	HNRNPC	0
FOSB	CHCHD2	0
IRF1	CYCS	0
IRF1	S100A4	0
JUNB	RPL23	0
KLF6	ATP1B3	0
TSC22D3	SERF2	0
KLF6	SLC25A3	0
IRF1	CALM1	0
EGR1	GPR183	0
IRF1	TMA7	0
FOS	CALM2	0
IRF1	IDS	0
IRF1	CHCHD2	0
JUNB	EIF1	0
KLF2	CYCS	0
KLF2	H2AFZ	0
JUNB	EGR1	0
KLF6	MYL6	0
KLF2	NOP53	0
TSC22D3	CCNL1	0
KLF6	SH3BGRL3	0
JUNB	IRF1	0
NFKBIA	IRF1	0
IRF1	EZR	0
KLF6	HINT1	0
IRF1	MYL12A	0
IRF1	CCNL1	0
FOSB	ARPC3	0
KLF2	ZFAS1	0
JUNB	CALM2	0
KLF2	SLC25A3	0
CREM	EIF4A2	0
FOSB	AHNAK	0
FOS	SMIM14	0
FOS	YWHAB	0
KLF6	BTG2	0
IRF1	DDX5	0
IRF1	PABPC1	0
KLF2	CD53	0
KLF6	OST4	0
JUNB	DDX5	0
KLF2	HSPA1B	0
KLF6	SERF2	0
EGR1	CD69	0
JUNB	SRRM2	0
JUNB	MCL1	0
JUNB	HNRNPU	0
KLF6	RPL36AL	0
FOS	CIRBP	0
JUNB	ARPC2	0
KLF2	HMGN1	0
FOSB	TMA7	0
FOSB	DDX5	0
KLF6	CREM	0
FOSB	ANKRD12	0
KLF2	HNRNPA3	0
CREM	HNRNPDL	0
TSC22D3	CD55	0
TSC22D3	DUSP1	1
FOS	SET	0
IRF1	SRP14	0
JUNB	HLA-A	0
FOS	YWHAZ	0
IRF1	CFL1	0
KLF2	YWHAB	0
TSC22D3	CALM2	0
KLF6	LGALS1	0
IRF1	CD48	0
FOSB	RBM39	0
FOSB	CD53	0
KLF6	COMMD6	0
KLF6	EGR1	0
JUNB	ZFP36L1	1
FOSB	NOP53	0
FOS	SRSF5	0
FOSB	DDX17	0
FOSB	RGS2	1
FOS	SSR4	0
JUNB	CORO1A	0
KLF6	RPS20	0
FOSB	SRSF5	0
JUNB	RPL31	0
KLF6	HNRNPDL	0
TSC22D3	SLC2A3	0
CREM	TAGLN2	0
CREM	S100A11	0
IRF1	HNRNPC	0
FOSB	SUMO2	0
CREM	SUMO2	0
IRF1	UBA52	0
KLF6	N4BP2L2	0
JUNB	UBB	0
JUNB	SMIM14	0
TSC22D3	AHNAK	0
EGR1	DYNLL1	0
FOS	ARHGDIB	0
FOSB	GZMB	0
FOS	CLIC1	0
NFKBIA	CIRBP	0
IRF1	RPL26	0
TSC22D3	EIF1	0
IRF1	TAGLN2	0
KLF2	COX7C	0
FOSB	UBB	0
NFKBIA	BTG2	0
FOSB	H2AFZ	0
CREM	TMA7	0
KLF2	RGS1	0
TSC22D3	TMA7	0
KLF2	CIRBP	0
KLF2	DYNLL1	0
KLF6	CALM2	0
FOS	SARAF	0
IRF1	SMIM14	0
FOSB	FAU	0
IRF1	PFN1	0
FOSB	RPS20	0
IRF1	CALR	0
FOSB	HINT1	0
FOSB	EIF4A2	0
TSC22D3	LGALS1	0
EGR1	CD53	0
KLF2	ZFP36L1	0
KLF2	RPS7	0
FOSB	PTPRC	0
FOSB	SEPT7	0
FOS	H3F3B	0
KLF6	RPL4	0
TSC22D3	HMGN1	0
EGR1	RBM39	0
KLF2	MCL1	0
IRF1	CD69	0
KLF2	EEF1B2	0
KLF2	DUSP2	0
JUNB	NPM1	0
CREM	NDUFA4	0
KLF2	ARPC3	0
EGR1	AHNAK	0
KLF6	EIF4A2	0
CREM	SUB1	1
FOS	GZMB	0
JUNB	TSC22D3	0
IRF1	CIRBP	0
IRF1	HERPUD1	0
JUNB	BTG2	0
TSC22D3	RPS10	0
IRF1	LAPTM5	0
JUNB	RPL36AL	0
KLF6	CD55	0
IRF1	BTG2	0
KLF2	SEPT7	0
FOS	EEF2	0
KLF6	SRSF5	0
TSC22D3	HINT1	0
EGR1	COX7C	0
KLF2	CD69	0
JUNB	SH3BGRL3	0
CREM	CFL1	0
EGR1	TMBIM6	0
EGR1	CXCR4	0
EGR1	OST4	0
JUNB	RPL6	0
EGR1	DDX3X	0
CREM	HMGN1	0
EGR1	RPL14	0
EGR1	EEF2	0
CREM	HNRNPA3	0
IRF1	NOP53	0
FOS	PFN1	0
JUNB	CXCR4	0
FOS	GAPDH	0
FOS	HNRNPC	0
CREM	MYL6	0
KLF2	MYL6	0
CREM	CD48	0
KLF2	DDX17	0
FOSB	CYCS	0
EGR1	SUMO2	0
KLF2	OST4	0
JUNB	PPIA	0
JUNB	DYNLL1	0
KLF2	ATP1B3	0
JUNB	TMA7	0
JUNB	LAPTM5	0
FOS	HNRNPDL	0
NFKBIA	CYCS	0
JUNB	HSP90AB1	0
CREM	MYL12A	0
EGR1	EIF4A2	0
FOS	CYBA	0
KLF2	RPL31	0
FOSB	PABPC1	0
IRF1	TOMM7	0
KLF2	ANKRD12	0
KLF2	RBM39	0
EGR1	NDUFA4	0
NFKBIA	STK17A	0
CREM	DDX3X	0
FOSB	MYL6	0
CREM	ZFP36L1	0
TSC22D3	MCL1	0
IRF1	RGS2	0
KLF6	TOMM7	0
KLF6	ARPC3	0
TSC22D3	CREM	0
FOS	VIM	0
EGR1	MCL1	0
CREM	RBM39	0
CREM	NFKBIA	0
NFKBIA	IDS	0
NFKBIA	SRRM2	0
FOSB	EZR	0
CREM	SARAF	0
KLF6	HLA-E	0
KLF2	SERF2	0
CREM	LAPTM5	0
KLF6	CD53	0
NFKBIA	H2AFZ	0
KLF6	YWHAB	0
TSC22D3	RGS2	0
JUNB	FOS	0
JUNB	UBA52	0
EGR1	ANKRD12	0
IRF1	RPL28	0
FOSB	PPIA	0
IRF1	RPSA	0
KLF6	UBB	0
KLF2	RPL22	0
FOSB	SET	0
CREM	TSC22D3	0
IRF1	SSR4	0
JUNB	GAPDH	0
JUNB	RPS21	0
JUNB	HMGN1	0
KLF6	SON	0
FOSB	NPM1	0
FOSB	EIF1	0
CREM	HLA-DQA1	0
KLF6	DDX5	0
EGR1	RPL37A	0
JUNB	HINT1	0
FOSB	HNRNPC	0
KLF2	CHCHD2	0
KLF2	CD52	0
EGR1	DDX5	0
JUNB	NFKBIA	0
CREM	SMIM14	0
FOS	ZFP36L2	0
TSC22D3	HLA-DQB1	0
NFKBIA	HNRNPK	0
IRF1	ANKRD12	0
FOSB	ZFP36	0
IRF1	RPL36	0
IRF1	OAZ1	0
NFKBIA	HSPA8	0
TSC22D3	ARHGDIB	0
JUNB	CFL1	0
IRF1	RPS24	0
IRF1	RPL29	0
FOS	PABPC1	0
KLF6	HERPUD1	0
FOS	DDX3X	0
KLF6	S100A11	0
FOSB	TXNIP	0
IRF1	HSPB1	0
